Assembly Accession	Assembly Name	Annotation Release Date	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Species
GCF_025853995.1	ASM2585399v1	2025-09-01	Acinetobacter baumannii		1326527-2					GCF_025853995.1-RS_2025_09_01	Complete Genome	2022-10-26		3	Acinetobacter baumannii
GCF_025853975.1	ASM2585397v1	2025-09-01	Acinetobacter baumannii		1326527-1					GCF_025853975.1-RS_2025_09_01	Complete Genome	2022-10-26		2	Acinetobacter baumannii
GCF_052218465.1	ASM5221846v1	2025-08-25	Acinetobacter baumannii		INC793					GCF_052218465.1-RS_2025_08_25	Complete Genome	2025-08-25		1	Acinetobacter baumannii
GCF_052218475.1	ASM5221847v1	2025-08-25	Acinetobacter baumannii		INC354					GCF_052218475.1-RS_2025_08_25	Complete Genome	2025-08-25		1	Acinetobacter baumannii
GCF_052216995.1	ASM5221699v1	2025-08-24	Acinetobacter baumannii		INC235					GCF_052216995.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVQ01	3	Acinetobacter baumannii
GCF_052216375.1	ASM5221637v1	2025-08-24	Acinetobacter baumannii		Ab014					GCF_052216375.1-RS_2025_08_24	Complete Genome	2025-08-24		2	Acinetobacter baumannii
GCF_052216865.1	ASM5221686v1	2025-08-24	Acinetobacter baumannii		INC953					GCF_052216865.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVK01	5	Acinetobacter baumannii
GCF_052216945.1	ASM5221694v1	2025-08-24	Acinetobacter baumannii		INC277					GCF_052216945.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVO01	4	Acinetobacter baumannii
GCF_052216905.1	ASM5221690v1	2025-08-24	Acinetobacter baumannii		INC421					GCF_052216905.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVM01	5	Acinetobacter baumannii
GCF_052216965.1	ASM5221696v1	2025-08-24	Acinetobacter baumannii		INC273					GCF_052216965.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVP01	4	Acinetobacter baumannii
GCF_052216805.1	ASM5221680v1	2025-08-24	Acinetobacter baumannii		INC51					GCF_052216805.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVR01	3	Acinetobacter baumannii
GCF_052216925.1	ASM5221692v1	2025-08-24	Acinetobacter baumannii		INC796					GCF_052216925.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVL01	3	Acinetobacter baumannii
GCF_052216885.1	ASM5221688v1	2025-08-24	Acinetobacter baumannii		INC340					GCF_052216885.1-RS_2025_08_24	Complete Genome	2025-08-23	JBQOVN01	3	Acinetobacter baumannii
GCF_052186095.1	ASM5218609v1	2025-08-23	Acinetobacter baumannii		Ab803					GCF_052186095.1-RS_2025_08_23	Complete Genome	2025-08-23		4	Acinetobacter baumannii
GCF_052186105.1	ASM5218610v1	2025-08-23	Acinetobacter baumannii		Ab398					GCF_052186105.1-RS_2025_08_23	Complete Genome	2025-08-23		1	Acinetobacter baumannii
GCF_034422775.1	ASM3442277v1	2025-08-19	Acinetobacter baumannii		Nord12-3					GCF_034422775.1-RS_2025_08_19	Complete Genome	2023-12-16		10	Acinetobacter baumannii
GCF_025854015.1	ASM2585401v1	2025-08-18	Acinetobacter baumannii		1326569					GCF_025854015.1-RS_2025_08_18	Complete Genome	2022-10-26		3	Acinetobacter baumannii
GCF_025854115.1	ASM2585411v1	2025-08-18	Acinetobacter baumannii		1326589					GCF_025854115.1-RS_2025_08_18	Complete Genome	2022-10-26		2	Acinetobacter baumannii
GCF_025854195.1	ASM2585419v1	2025-08-18	Acinetobacter baumannii		1326924-3					GCF_025854195.1-RS_2025_08_18	Complete Genome	2022-10-26		2	Acinetobacter baumannii
GCF_025854175.1	ASM2585417v1	2025-08-18	Acinetobacter baumannii		1326924-2					GCF_025854175.1-RS_2025_08_18	Complete Genome	2022-10-26		2	Acinetobacter baumannii
GCF_025854215.1	ASM2585421v1	2025-08-18	Acinetobacter baumannii		1326927-1					GCF_025854215.1-RS_2025_08_18	Complete Genome	2022-10-26		2	Acinetobacter baumannii
GCF_025853935.1	ASM2585393v1	2025-08-18	Acinetobacter baumannii		1326525-2					GCF_025853935.1-RS_2025_08_18	Complete Genome	2022-10-26		2	Acinetobacter baumannii
GCF_025854315.1	ASM2585431v1	2025-08-18	Acinetobacter baumannii		AB44					GCF_025854315.1-RS_2025_08_18	Complete Genome	2022-10-26		1	Acinetobacter baumannii
GCF_025854235.1	ASM2585423v1	2025-08-18	Acinetobacter baumannii		1326927-2					GCF_025854235.1-RS_2025_08_18	Complete Genome	2022-10-26		2	Acinetobacter baumannii
GCF_052071855.1	ASM5207185v1	2025-08-17	Acinetobacter baumannii		AB30-AUFP					GCF_052071855.1-RS_2025_08_17	Complete Genome	2025-08-17	JBQGLO01	2	Acinetobacter baumannii
